html_link,processed_video_link,transcript_id,year,part
https://www.ft.dk/forhandlinger/20101/20101M015_2010-11-10_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/15.aspx,20101M015_2010-11-10_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M014_2010-11-09_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/14.aspx,20101M014_2010-11-09_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M013_2010-11-05_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/13.aspx,20101M013_2010-11-05_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M012_2010-11-04_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/12.aspx,20101M012_2010-11-04_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M011_2010-10-29_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/11.aspx,20101M011_2010-10-29_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M010_2010-10-28_1015.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/10.aspx,20101M010_2010-10-28_1015,2010,1
https://www.ft.dk/forhandlinger/20101/20101M009_2010-10-28_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/9.aspx,20101M009_2010-10-28_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M008_2010-10-27_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/8.aspx,20101M008_2010-10-27_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M007_2010-10-26_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/7.aspx,20101M007_2010-10-26_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M006_2010-10-14_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/6.aspx,20101M006_2010-10-14_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M005_2010-10-13_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/5.aspx,20101M005_2010-10-13_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M004_2010-10-12_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/4.aspx,20101M004_2010-10-12_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M003_2010-10-07_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/3.aspx,20101M003_2010-10-07_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M002_2010-10-06_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/2.aspx,20101M002_2010-10-06_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M001_2010-10-05_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/1.aspx,20101M001_2010-10-05_1200,2010,1
https://www.ft.dk/forhandlinger/20102/20102M002_2011-09-30_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20102/salen/2.aspx,20102M002_2011-09-30_1300,2010,2
https://www.ft.dk/forhandlinger/20102/20102M001_2011-09-29_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20102/salen/1.aspx,20102M001_2011-09-29_1200,2010,2
https://www.ft.dk/forhandlinger/20111/20111M102_2012-09-13_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/102.aspx,20111M102_2012-09-13_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M101_2012-09-10_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/101.aspx,20111M101_2012-09-10_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M100_2012-09-06_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/100.aspx,20111M100_2012-09-06_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M099_2012-08-20_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/99.aspx,20111M099_2012-08-20_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M098_2012-08-14_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/98.aspx,20111M098_2012-08-14_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M097_2012-06-13_0900.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/97.aspx,20111M097_2012-06-13_0900,2011,1
https://www.ft.dk/forhandlinger/20111/20111M096_2012-06-12_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/96.aspx,20111M096_2012-06-12_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M095_2012-06-11_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/95.aspx,20111M095_2012-06-11_1200,2011,1
https://www.ft.dk/forhandlinger/20111/20111M094_2012-06-08_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/94.aspx,20111M094_2012-06-08_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M093_2012-06-07_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/93.aspx,20111M093_2012-06-07_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M092_2012-06-06_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/92.aspx,20111M092_2012-06-06_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M091_2012-05-31_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/91.aspx,20111M091_2012-05-31_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M090_2012-05-30_0900.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/90.aspx,20111M090_2012-05-30_0900,2011,1
https://www.ft.dk/forhandlinger/20111/20111M089_2012-05-29_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/89.aspx,20111M089_2012-05-29_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M088_2012-05-25_0900.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/88.aspx,20111M088_2012-05-25_0900,2011,1
https://www.ft.dk/forhandlinger/20111/20111M087_2012-05-24_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/87.aspx,20111M087_2012-05-24_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M086_2012-05-23_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/86.aspx,20111M086_2012-05-23_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M085_2012-05-22_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/85.aspx,20111M085_2012-05-22_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M084_2012-05-16_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/84.aspx,20111M084_2012-05-16_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M083_2012-05-15_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/83.aspx,20111M083_2012-05-15_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M082_2012-05-11_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/82.aspx,20111M082_2012-05-11_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M081_2012-05-10_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/81.aspx,20111M081_2012-05-10_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M080_2012-05-09_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/80.aspx,20111M080_2012-05-09_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M079_2012-05-08_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/79.aspx,20111M079_2012-05-08_1300,2011,1
